,Comp,A1,A2,yA2,TotEng,DHmix,DHmix_in_meV
0,Ma8Ea0-Pb8I24,Ma,Ea,0.0,-51.0041579325,2.077968464999998,2077.968464999998
1,Ma0Ea8-Pb8I24,Ma,Ea,1.0,-67.6109739625,0.052883449999995946,52.883449999995946
2,Ma4Ea4-Pb8I24,Ma,Ea,0.5,-59.2764466875,1.096545217499994,1096.545217499994
3,Ma4Ea4-Pb8I24,Ma,Ea,0.5408127535138418,-59.275860835,1.6922516637203273,1692.2516637203273
4,Ma2Ea6-Pb8I24,Ma,Ea,0.7206981573279169,-63.3569874925,0.2341655781618357,234.1655781618357
5,Ma2Ea6-Pb8I24,Ma,Ea,0.7651712707703374,-63.41315247125,0.826495577028787,826.495577028787
6,Ma0Ea8-Pb8I24,Ma,Ea,0.9391771500962792,-67.52048241875,-0.7435274431117875,-743.5274431117875
7,Ma2Ea6-Pb8I24,Ma,Ea,0.7786074915438936,-63.39815648375,1.0374149217069402,1037.4149217069403
8,Ma2Ea6-Pb8I24,Ma,Ea,0.7786074915438936,-63.338644975,1.0969264304569393,1096.9264304569392
9,Ma2Ea6-Pb8I24,Ma,Ea,0.7786074915438936,-63.39003732625,1.0455340792069379,1045.5340792069378
10,Ma2Ea6-Pb8I24,Ma,Ea,0.7786074915438936,-63.42521990875,1.0103514967069387,1010.3514967069386
11,Ma2Ea6-Pb8I24,Ma,Ea,0.7786074915438936,-63.43284109375,1.0027303117069408,1002.7303117069408
12,Ma3Ea5-Pb8I24,Ma,Ea,0.6370809348697323,-61.38151908625,0.9903501383051605,990.3501383051605
13,Ma3Ea5-Pb8I24,Ma,Ea,0.6370809348697323,-61.33504812875,1.0368210958051662,1036.8210958051664
14,Ma3Ea5-Pb8I24,Ma,Ea,0.6370809348697323,-61.33066281125,1.0412064133051615,1041.2064133051615
15,Ma3Ea5-Pb8I24,Ma,Ea,0.6370809348697323,-61.37244823125,0.999420993305165,999.420993305165
16,Ma3Ea5-Pb8I24,Ma,Ea,0.6370809348697323,-61.38972753625,0.9821416883051626,982.1416883051626
17,Ma1Ea7-Pb8I24,Ma,Ea,0.8260924800504735,-65.4951463325,-0.36716159738973886,-367.16159738973886
18,Ma1Ea7-Pb8I24,Ma,Ea,0.8260924800504735,-65.52979096375,-0.40180622863974236,-401.80622863974236
19,Ma1Ea7-Pb8I24,Ma,Ea,0.8260924800504735,-65.5061498175,-0.3781650823897422,-378.1650823897422
20,Ma1Ea7-Pb8I24,Ma,Ea,0.8260924800504735,-65.546873265,-0.4188885298897418,-418.8885298897418
21,Ma1Ea7-Pb8I24,Ma,Ea,0.8260924800504735,-65.52506657875,-0.3970818436397394,-397.0818436397394
22,Ma2Ea6-Pb8I24,Ma,Ea,0.7781874021929355,-63.40865201875,1.0207937567890042,1020.7937567890042
23,Ma2Ea6-Pb8I24,Ma,Ea,0.7781874021929355,-63.42655787125,1.002887904289004,1002.8879042890039
24,Ma2Ea6-Pb8I24,Ma,Ea,0.7781874021929355,-63.443131735,0.9863140405389998,986.3140405389998
25,Ma2Ea6-Pb8I24,Ma,Ea,0.7781874021929355,-63.49056266,0.9388831155389994,938.8831155389994
