,Comp,SuperCell,A1,A2,numA1,numA2,numAllCat,yA2,TotEng,Converged,lambda,sigma,tilt
23,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7781874021929355,-63.42655787125,True,1.0003516060421407,1.1700257828207414,4.929264444903661e-07
24,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7781874021929355,-63.443131735,True,1.000426345132917,1.4138367830857919,5.848440097805466e-07
25,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7781874021929355,-63.49056266,True,1.0000270339179833,,2.13289614741363
26,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7781874021929355,-63.467793405,True,1.0002069040615114,0.7216886447898718,2.0327943958371286e-07
27,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9385516647196847,-67.59689458,True,1.0004540323725541,1.389878635524557,4.7031302251158565e-07
28,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9385516647196847,-67.56343363,True,1.0004497633459102,1.4851541541160103,0.0
29,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9385516647196847,-67.556668405,True,1.0003167997899127,1.014149620166752,3.4353198599622124e-07
30,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9385516647196847,-67.57750698125,True,1.0007625621693503,2.5668139205589555,4.0247275657524445e-07
31,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9385516647196847,-67.59653733125,True,1.0006448372065015,2.2744517663715493,4.977354275804739e-07
32,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.10153315003312435,-53.04515785875,True,1.0000162139443658,0.05807218501804173,2.84591215417198e-07
33,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.10153315003312435,-53.057446635,True,1.0000014892073237,,1.873216967097786
34,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.10153315003312435,-53.0635127,True,1.0000074519036115,0.02431951295800081,0.0
35,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.10153315003312435,-53.06881233,True,1.000033920840406,0.11268096555750687,3.8171427166081993e-07
36,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.10153315003312435,-53.07403064,True,1.0000380109466838,0.12545615595901613,0.0
37,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.44971014313936186,-59.23973419,True,1.0001012303324948,0.3505549935264868,3.58267178640977e-07
38,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.44971014313936186,-59.2462862975,True,1.0000599386049314,,2.1277521490358717
39,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.44971014313936186,-59.27919407,True,1.0001553419814007,0.5448413716835019,0.0
40,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.44971014313936186,-59.28791263125,True,1.000337772752184,,3.4895562014038153
41,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.44971014313936186,-59.27833436125,True,1.0004773436266583,1.6739060413780238,4.0247275657524445e-07
42,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7930258403068731,-63.39559361125,True,1.0000078657318596,,1.8677391006730477
43,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7930258403068731,-63.4146142175,True,1.0002083179633527,0.7184645648490932,5.69182430834396e-07
