,Comp,SuperCell,A1,A2,numA1,numA2,numAllCat,yA2,yA2Actual,TotalAtoms,TotEng,TotEngperAtom,Converged,lambda,sigma,tilt,angle
0,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0,0.0,96.0,-408.02819112,-4.250293657499999,True,1.0000067424283539,0.022646241612205225,4.476996005328053e-07,0.19634954084936207
1,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,1.0,1.0,120.0,-540.49275234,-4.5041062695,True,1.0005418659411787,,7.305933262664543,0.19634954084936207
